trk_rec_type,trk_crsh_id,trk_unit_num,trk_carr_city,trk_carr_st,trk_carr_zip,trk_carr_name_src_cd,trk_intr_inta_ind,trk_gvwr,trk_cdl_grp_cd,trk_cdl_exmp_cd,trk_med_card_ind,trk_trk_type_cd,trk_frst_unit_axle,trk_scnd_unit_axle,trk_crgo_body_type_cd,trk_hzrd_matl_plrd_ind,trk_hzrd_matl_spll_ind,trk_cdl_rstr_28_ind,trk_cdl_rstr_29_ind,trk_cdl_rstr_30_ind,trk_cdl_rstr_35_ind,trk_cdl_rstr_36_ind,trk_trk_updt_date,trk_crnt_x_cord,trk_crnt_y_cord,trk_cnty_cd ,trk_date_val,trk_milt_time
7,8545168,3,GRAND RAPIDS,MI,49501,2,1,48000,2,,1,10,10,,1,0,0,0,0,0,0,0,05-FEB-13,-85.5310658714657,42.2593179743988,39,20130124,904
7,8545260,2,GRAND RAPIDS,MI,49534,2,1,26000,5,,1,10,2,,1,0,0,0,0,0,0,0,13-FEB-13,-85.672284723143,42.9415319814547,41,20130122,1520
7,8545322,2,GRAND RAPIDS,MI,49503,2,1,39600,3,,0,13,B2,,8,0,0,0,0,0,0,0,31-JAN-13,-85.6267396556425,42.8981789336889,41,20130127,1840
7,8545323,2,GRAND RAPIDS,MI,49503,2,1,17963,3,,1,13,2,,8,0,0,0,0,0,0,0,28-JAN-13,-85.6746381966268,42.9560117873642,41,20130124,1339
7,8545747,1,GRAND RAPIDS,MI,49548-4114,4,1,33000,1,,1,10,2,,8,0,0,0,0,0,0,0,03-MAR-14,-84.1162879240902,44.4144899472428,65,20130125,1630
7,8547372,1,GRAND RAPIDS,MI,49508,1,1,56000,1,,1,1,T2,S1,1,0,0,0,0,0,0,0,05-FEB-13,-85.8247910717576,43.0376851425175,70,20130123,1135
7,8547455,1,GRAND RAPIDS,MI,49504,1,1,25000,1,,1,1,2,,4,0,0,0,0,0,0,0,29-JAN-13,-85.6092875831834,43.0643910286377,41,20130128,850
7,8547499,1,GRAND RAPIDS,MI,49508,4,1,26000,3,,1,1,11,,1,0,0,0,0,0,0,0,29-JAN-13,-85.3370450881477,42.9348974107097,41,20130124,950
7,8547913,2,GRAND RAPIDS,MI,49503,1,1,12000,3,,1,21,2,,8,0,0,0,0,0,0,0,29-JAN-13,-86.0732384242381,42.745490114188,3,20130125,1716
7,8547998,1,GRAND RAPIDS,MI,49504,1,1,80000,1,,1,1,T2,S1,8,0,0,0,0,0,0,0,29-JAN-13,-85.6690037025771,41.839648569499,75,20130114,933
